"","Timestamp","age","annualIncome","HeardInsurance","consideredInsurance","whyNoInsurance","WhyInsurance","importantFactorInsurance","negExperience","whatNegExperience","HowImproveInsurance"
"1","2023-06-03 21:51:14","25-34","12m - 1.2m","Yes","Yes","","To cover medical expenses","Coverage","1","Poor customer service, lack of coverage","Increase public awareness of the benefits of Insurance"
"2","2023-06-03 21:50:44","18-24","Less than 150k","Yes","No","Lack of awareness","","Ease of access to Medical services","0","","Increase public awareness of the benefits of Insurance"
"3","2023-06-03 20:50:19","18-24","Less than 150k","Yes","Yes","","Because it was required by my employer","Reputation of Insurance Company","0","","Provide tax incentives for individuals who take out insurance policies"
"4","2023-06-03 20:43:13","25-34","1.2m - 150k","Yes","Yes","","To have peace of mind","Cost","0","","Increase public awareness of the benefits of Insurance"
"5","2023-06-03 20:28:21","18-24","Less than 150k","Not Sure","No","Lack of trust in insurance companies","","Reputation of Insurance Company","0","","Increase public awareness of the benefits of Insurance"
"6","2023-06-03 20:10:23","18-24","Less than 150k","Not Sure","Yes","","To cover medical expenses","Ease of access to Medical services","0","","Provide tax incentives for individuals who take out insurance policies"
"7","2023-06-03 19:43:46","25-34","1.2m - 150k","Yes","Yes","","To cover medical expenses","Cost","1","Same as mentioned above.","Improve regulatory framework for insurance companies"
"8","2023-06-03 19:00:41","18-24","Less than 150k","No","No","Lack of trust in insurance companies","","Cost","0","","Increase public awareness of the benefits of Insurance"
"9","2023-06-03 17:31:27","25-34","Less than 150k","Yes","Yes","","Because it was required by my employer","Coverage","1","Lack of infrastructure","Improve regulatory framework for insurance companies"
"10","2023-06-03 15:53:16","18-24","1.2m - 150k","Yes","No","Lack of awareness","","Ease of access to Medical services","0","","Increase public awareness of the benefits of Insurance"
"11","2023-06-03 15:51:19","18-24","Less than 150k","Yes","Yes","","To cover medical expenses","Ease of access to Medical services","0","","Improve regulatory framework for insurance companies"
"12","2023-06-03 10:51:38","18-24","Less than 150k","Not Sure","No","Lack of awareness","","I can’t even afford","0","","Provide tax incentives for individuals who take out insurance policies"
"13","2023-06-03 9:47:52","25-34","Less than 150k","Not Sure","No","Lack of awareness","","Ease of access to Medical services","0","","Increase public awareness of the benefits of Insurance"
"14","2023-06-03 8:59:43","18-24","Less than 150k","Yes","No","Lack of awareness","","Ease of access to Medical services","0","","Increase public awareness of the benefits of Insurance"
"15","2023-06-03 8:24:18","18-24","Less than 150k","Yes","No","Lack of awareness","","Cost","0","","Increase public awareness of the benefits of Insurance"
"16","2023-06-03 8:17:32","18-24","1.2m - 150k","Yes","Yes","","Because it was required by my employer","Coverage","0","","Increase public awareness of the benefits of Insurance"
"17","2023-06-03 8:06:48","18-24","Less than 150k","Yes","Yes","","To cover medical expenses","Reputation of Insurance Company","0","","Provide tax incentives for individuals who take out insurance policies"
"18","2023-06-03 6:52:05","25-34","1.2m - 150k","Yes","Yes","","","Ease of access to Medical services","0","","Provide tax incentives for individuals who take out insurance policies"
"19","2023-06-03 5:41:42","25-34","Less than 150k","Yes","Yes","","To have peace of mind","Reputation of Insurance Company","0","","Provide tax incentives for individuals who take out insurance policies"
"20","2023-06-03 5:39:32","18-24","Less than 150k","Yes","No","High cost","","Reputation of Insurance Company","0","",""
"21","2023-06-03 3:43:40","18-24","Less than 150k","No","No","Lack of trust in insurance companies","","Ease of access to Medical services","0","","Improve regulatory framework for insurance companies"
"22","2023-06-03 2:19:12","18-24","Less than 150k","No","No","Lack of awareness","","Coverage","0","","Provide tax incentives for individuals who take out insurance policies"
"23","2023-06-03 1:40:32","18-24","1.2m - 150k","Yes","Yes","","To cover medical expenses","Coverage","0","","Increase public awareness of the benefits of Insurance"
"24","2023-06-02 23:56:29","18-24","Less than 150k","Yes","No","High cost","","Ease of access to Medical services","0","","Increase public awareness of the benefits of Insurance"
"25","2023-06-02 23:29:33","25-34","12m - 1.2m","Yes","Yes","","To cover medical expenses","Ease of access to Medical services","0","","Provide tax incentives for individuals who take out insurance policies"
"26","2023-06-02 23:24:21","18-24","Less than 150k","No","Yes","","To have peace of mind","Ease of access to Medical services","0","","Increase public awareness of the benefits of Insurance"
"27","2023-06-02 23:07:11","25-34","Less than 150k","Yes","Yes","","To cover medical expenses","Ease of access to Medical services","0","","Increase public awareness of the benefits of Insurance"
"28","2023-06-02 23:06:43","18-24","1.2m - 150k","Yes","No","Lack of awareness","","Coverage","0","","Improve regulatory framework for insurance companies"
"29","2023-06-02 22:57:34","18-24","Less than 150k","Yes","Yes","","To cover medical expenses","Ease of access to Medical services","0","","Improve regulatory framework for insurance companies"
"30","2023-06-02 22:54:13","18-24","Less than 150k","Yes","No","","","Reputation of Insurance Company","0","","Increase public awareness of the benefits of Insurance"
"31","2023-06-02 22:52:29","25-34","1.2m - 150k","No","No","Lack of awareness","","Ease of access to Medical services","0","","Increase public awareness of the benefits of Insurance"
